Early Voting Locations,Total,05/28/19,05/29/19,05/30/19,05/31/19,06/01/19,06/03/19,06/04/19,*06/08/19
Adams Elementary School,99,0,0,0,0,0,0,0,99
Adams Hill Elementary School,178,0,0,0,0,0,0,0,178
Adante Independent Living,301,0,0,0,0,0,0,0,301
Agnes Cotton Academy,324,0,0,0,0,0,0,0,324
Alamo Convocation Center,106,0,0,0,0,0,0,0,106
Alamo Heights United Methodist Church,213,0,0,0,0,0,0,0,213
Alan B. Shepard Middle School,91,0,0,0,0,0,0,0,91
Antonio Margil Elementary School,85,0,0,0,0,0,0,0,85
Artemisia Bowden Academy,153,0,0,0,0,0,0,0,153
Balcones Heights City Hall,56,0,0,0,0,0,0,0,56
Barkley-Ruiz Elementary School,93,0,0,0,0,0,0,0,93
Beacon Hill Academy,88,0,0,0,0,0,0,0,88
Beard Elementary School,286,0,0,0,0,0,0,0,286
Bella Cameron Elementary School,47,0,0,0,0,0,0,0,47
Bexar County Elections Department,1598,285,223,211,224,158,201,296,0
Bexar County Justice Center,1466,308,277,243,214,0,194,230,0
Blattman Elementary School,153,0,0,0,0,0,0,0,153
Blossom Athletic Center,95,0,0,0,0,0,0,0,95
Bob Hope Elementary School,86,0,0,0,0,0,0,0,86
Bode Community Center,126,0,0,0,0,0,0,0,126
Boone Elementary School,195,0,0,0,0,0,0,0,195
Brauchle Elementary School,135,0,0,0,0,0,0,0,135
Brentwood Steam School II,91,0,0,0,0,0,0,0,91
Brookhollow Branch Library,9491,1379,1397,1294,1269,1268,1189,1420,275
Bulverde Creek Elementary School,121,0,0,0,0,0,0,0,121
Burke Elementary School,103,0,0,0,0,0,0,0,103
Bush Middle School,212,0,0,0,0,0,0,0,212
Carlos Coon Elementary School,211,0,0,0,0,0,0,0,211
Carnahan Elementary School,225,0,0,0,0,0,0,0,225
Carson Elementary School,205,0,0,0,0,0,0,0,205
Central Library,206,0,0,0,0,0,0,0,206
Charles Graebner Elementary School,61,0,0,0,0,0,0,0,61
Christian Family Baptist Church,0,0,0,0,0,0,0,0,0
Church of Reconciliation,185,0,0,0,0,0,0,0,185
Churchill High School,111,0,0,0,0,0,0,0,111
Clark High School,135,0,0,0,0,0,0,0,135
Claude Black Community Center,1077,178,164,153,141,97,144,200,0
Clear Spring Elementary School,50,0,0,0,0,0,0,0,50
Cody Branch Library,9095,1357,1391,1375,1206,1307,1073,1272,114
Cody Elementary School,166,0,0,0,0,0,0,0,166
Collier Elementary School,91,0,0,0,0,0,0,0,91
Collins Garden Branch Library,1000,154,129,121,152,104,109,167,64
Colonial Hills United Methodist Church,286,0,0,0,0,0,0,0,286
Colonies North Elementary School,201,0,0,0,0,0,0,0,201
Community Alliance Traffic,131,0,0,0,0,0,0,0,131
Connally Middle School,149,0,0,0,0,0,0,0,149
Copernicus Community Center,860,149,127,112,127,67,137,141,0
Crockett Academy,33,0,0,0,0,0,0,0,33
Davis-Scott Family YMCA,33,0,0,0,0,0,0,0,33
Dellview Elementary School,221,0,0,0,0,0,0,0,221
Dwight Middle School,34,0,0,0,0,0,0,0,34
E.T. Wrenn Middle School,63,0,0,0,0,0,0,0,63
East Terrell Hills Elementary Science Academy,123,0,0,0,0,0,0,0,123
Ed White Middle School,111,0,0,0,0,0,0,0,111
Edgewood Gym,65,0,0,0,0,0,0,0,65
El Dorado Elementary School,147,0,0,0,0,0,0,0,147
Ellison Elementary School,222,0,0,0,0,0,0,0,222
Eloise Japhet Academy,150,0,0,0,0,0,0,0,150
Elrod Elementary School,131,0,0,0,0,0,0,0,131
Encino Branch Library,2219,253,383,323,268,340,283,369,0
Encino Park Community Center,158,0,0,0,0,0,0,0,158
Esparza Elementary School,79,0,0,0,0,0,0,0,79
Evers Elementary School,202,0,0,0,0,0,0,0,202
Faith Lutheran Church,260,0,0,0,0,0,0,0,260
Fernandez Elementary School,150,0,0,0,0,0,0,0,150
First Chinese Baptist Church,252,0,0,0,0,0,0,0,252
Five Palms Elementary School,76,0,0,0,0,0,0,0,76
