Early Voting Locations,Total,10/24/22,10/25/22,10/26/22,10/27/22,10/28/22,10/29/22,10/30/22,10/31/22,11/01/22,11/02/22,11/03/22,11/04/22,*11/08/22
Elmendorf City Hall,258,0,0,0,0,0,0,0,0,0,0,0,0,258
Eloise Japhet Academy,239,0,0,0,0,0,0,0,0,0,0,0,0,239
Elolf Steam Academy,550,0,0,0,0,0,0,0,0,0,0,0,0,550
Elrod Elementary School,418,0,0,0,0,0,0,0,0,0,0,0,0,418
Encino Branch Library,19736,1430,1557,1519,1514,1680,1154,686,1431,1405,1521,1751,2207,1881
Evers Elementary School,575,0,0,0,0,0,0,0,0,0,0,0,0,575
Esparza Elementary School,540,0,0,0,0,0,0,0,0,0,0,0,0,540
Faith Lutheran Church,407,0,0,0,0,0,0,0,0,0,0,0,0,407
Fernandez Elementary School,489,0,0,0,0,0,0,0,0,0,0,0,0,489
Fields Elementary School,485,0,0,0,0,0,0,0,0,0,0,0,0,485
Fire Station #3,627,0,0,0,0,0,0,0,0,0,0,0,0,627
First Chinese Baptist Church,450,0,0,0,0,0,0,0,0,0,0,0,0,450
Five Palms Elementary School,304,0,0,0,0,0,0,0,0,0,0,0,0,304
Folks Middle School,710,0,0,0,0,0,0,0,0,0,0,0,0,710
Frank Garrett Multi Service,1971,155,154,166,141,148,125,50,95,110,156,147,270,254
Frank Madla Elementary School,235,0,0,0,0,0,0,0,0,0,0,0,0,235
Galm Elementary School,889,0,0,0,0,0,0,0,0,0,0,0,0,889
Gardendale Early Learning,193,0,0,0,0,0,0,0,0,0,0,0,0,193
Gillette Elementary School,277,0,0,0,0,0,0,0,0,0,0,0,0,277
Glenn Elementary School,441,0,0,0,0,0,0,0,0,0,0,0,0,441
Glenoaks Elementary School,337,0,0,0,0,0,0,0,0,0,0,0,0,337
Grace Bible Chapel,497,0,0,0,0,0,0,0,0,0,0,0,0,497
Granados Adult and Senior Center,391,0,0,0,0,0,0,0,0,0,0,0,0,391
Great Northwest Branch Library,14432,1189,1279,1171,1169,1194,1032,522,1034,1073,1061,1262,1449,997
