Early Voting Locations,Total,05/24/21,05/25/21,05/26/21,05/27/21,05/28/21,05/29/21,06/01/21,*06/05/21
Royal Ridge Elementary School,15,0,0,0,0,0,0,0,15
Rudder Middle School,0,0,0,0,0,0,0,0,0
S.J. Davis Middle School,0,0,0,0,0,0,0,0,0
SAC Victory Center,1071,71,120,87,95,140,89,280,189
Sam Houston High School,12,0,0,0,0,0,0,0,12
San Antonio College,0,0,0,0,0,0,0,0,0
San Antonio Housing Authority,0,0,0,0,0,0,0,0,0
San Antonio Shrine Auditorium,0,0,0,0,0,0,0,0,0
San Pedro Church Of Christ,147,0,0,0,0,0,0,0,147
Sarah King Elementary School,36,0,0,0,0,0,0,0,36
Scarborough Elementary School,42,0,0,0,0,0,0,0,42
Schaefer Branch Library,429,23,48,47,33,40,50,75,113
Scobee Elementary School,0,0,0,0,0,0,0,0,0
Semmes Branch Library,0,0,0,0,0,0,0,0,0
Shavano Park City Hall,0,0,0,0,0,0,0,0,0
Shearer Hills Baptist Church,120,0,0,0,0,0,0,0,120
Shepherd King Lutheran Church,38,0,0,0,0,0,0,0,38
Sky Harbour Elementary School,0,0,0,0,0,0,0,0,0
Smith Elementary School,27,0,0,0,0,0,0,0,27
Somerset City Hall,0,0,0,0,0,0,0,0,0
South Park Mall,0,0,0,0,0,0,0,0,0
South San Antonio High School,0,0,0,0,0,0,0,0,0
Southside ISD Admin. Bldg,0,0,0,0,0,0,0,0,0
Southwest ISD Admin Building,0,0,0,0,0,0,0,0,0
Specht Elementary School,0,0,0,0,0,0,0,0,0
Spicewood Park Elementary,0,0,0,0,0,0,0,0,0
Spring Meadows Elementary,0,0,0,0,0,0,0,0,0
St. Hedwig City Hall,0,0,0,0,0,0,0,0,0
St. James Catholic Church,38,0,0,0,0,0,0,0,38
St. Leo Catholic Church,45,0,0,0,0,0,0,0,45
St. Leonard Catholic Church,0,0,0,0,0,0,0,0,0
St. Mark's The Evangelist Church,0,0,0,0,0,0,0,0,0
St. Marys University,253,11,24,32,20,27,45,45,49
St. Paul Community Center,0,0,0,0,0,0,0,0,0
St. Philip Of Jesus Catholic Church,0,0,0,0,0,0,0,0,0
Stafford Elem Visual Performing Arts,0,0,0,0,0,0,0,0,0
Stahl Elementary School,0,0,0,0,0,0,0,0,0
