Early Voting Locations,Total,05/30/23,05/31/23,06/01/23,06/02/23,06/03/23,06/05/23,06/06/23,*06/10/23
Agnes Cotton Academy,189,0,0,0,0,0,0,0,189
Alamo Convocation Center,42,0,0,0,0,0,0,0,42
Bexar County Elections Department,637,59,66,63,61,46,75,125,142
Bexar County Justice Center,206,13,21,38,27,27,27,34,19
Blossom Athletic Center,4,0,0,0,0,0,0,0,4
Carson Elementary School,13,0,0,0,0,0,0,0,13
Central Library,36,0,0,0,0,0,0,0,36
Colonial Hills United Methodist,191,0,0,0,0,0,0,0,191
Colonies North Elementary,88,0,0,0,0,0,0,0,88
Connally Middle School,5,0,0,0,0,0,0,0,5
Dellview Elementary School,118,0,0,0,0,0,0,0,118
Elrod Elementary School,19,0,0,0,0,0,0,0,19
Frank Garrett Multi Service,18,0,0,0,0,0,0,0,18
Harmony Hills Elementary,237,0,0,0,0,0,0,0,237
Health Careers High School,15,0,0,0,0,0,0,0,15
Henry Wadsworth Longfellow,68,0,0,0,0,0,0,0,68
Howard Early Childhood Center,40,0,0,0,0,0,0,0,40
Huisache Avenue Baptist Church,91,0,0,0,0,0,0,0,91
Joe Ward Recreation Center,132,0,0,0,0,0,0,0,132
John Greenleaf Whittier Middle School,43,0,0,0,0,0,0,0,43
John Marshall High School,41,0,0,0,0,0,0,0,41
Larkspur Elementary School,47,0,0,0,0,0,0,0,47
Laurel Heights United Methodist,165,0,0,0,0,0,0,0,165
Lion's Field Adult and Senior Center,2535,267,266,229,275,283,302,590,323
Maverick Branch Library,3375,920,320,331,382,320,285,398,419
Memorial Branch Library,1005,113,104,122,99,87,145,192,143
Neff Middle School,53,0,0,0,0,0,0,0,53
Nichols Elementary School,57,0,0,0,0,0,0,0,57
Nimitz Middle School,109,0,0,0,0,0,0,0,109
Northside Activity Center,40,0,0,0,0,0,0,0,40
Pre-K Academy At West Avenue,103,0,0,0,0,0,0,0,103
Rhodes Elementary School,35,0,0,0,0,0,0,0,35
Ridgeview Elementary School,248,0,0,0,0,0,0,0,248
Rudder Middle School,152,0,0,0,0,0,0,0,152
SAC Victory Center,116,0,0,0,0,0,0,0,116
San Antonio Housing Authority,88,0,0,0,0,0,0,0,88
Scobee Elementary School,48,0,0,0,0,0,0,0,48
Shepherd King Lutheran Church,76,0,0,0,0,0,0,0,76
Stevenson Middle School,48,0,0,0,0,0,0,0,48
Thomas Edison High School,117,0,0,0,0,0,0,0,117
Trinity United Methodist Church,60,0,0,0,0,0,0,0,60
Villarreal Elementary School,64,0,0,0,0,0,0,0,64
Wanke Elementary School,44,0,0,0,0,0,0,0,44
Westminster Square Manor,81,0,0,0,0,0,0,0,81
Wonderland Mall of the Americas,3710,360,333,429,417,440,539,728,464
Woodlawn Academy,102,0,0,0,0,0,0,0,102
Woodlawn Hills Elementary,19,0,0,0,0,0,0,0,19
Woodlawn Pointe Center,150,0,0,0,0,0,0,0,150
Young Womens Leadership Academy,114,0,0,0,0,0,0,0,114
Total in Person,14942,1832,1810,2232,2343,2208,2473,3160,4884
