Early Voting Locations,Total,04/19/21,04/20/21,04/21/21,04/22/21,04/23/21,04/24/21,04/26/21,04/27/21,*05/01/21
Gallardo Elementary School,0,0,0,0,0,0,0,0,0,0
Gardendale Early Learning Center,76,0,0,0,0,0,0,0,0,76
Gillette Elementary School,128,0,0,0,0,0,0,0,0,128
Glenn Elementary School,100,0,0,0,0,0,0,0,0,100
Glenoaks Elementary School,112,0,0,0,0,0,0,0,0,112
Grace Bible Chapel,327,0,0,0,0,0,0,0,0,327
Granados Adult and Senior Center,0,0,0,0,0,0,0,0,0,0
Great Northwest Branch Library,5226,360,433,421,409,516,608,814,945,720
Grey Forest Community Center,0,0,0,0,0,0,0,0,0,0
Henry A. Guerra Jr. Library,2137,119,157,124,204,152,194,373,557,257
Gus Garcia University School,78,0,0,0,0,0,0,0,0,78
Harlandale Civic Center,0,0,0,0,0,0,0,0,0,0
Harlandale Community Center,0,0,0,0,0,0,0,0,0,0
Harmony Elementary School,0,0,0,0,0,0,0,0,0,0
Harmony Hills Elementary School,277,0,0,0,0,0,0,0,0,277
Harry H. Rogers Middle School,173,0,0,0,0,0,0,0,0,173
Hartman Center II - Building,382,0,0,0,0,0,0,0,0,382
Hatchett Elementary School,111,0,0,0,0,0,0,0,0,111
Hardy Oak Elementary School,240,0,0,0,0,0,0,0,0,240
Healing Place Church,0,0,0,0,0,0,0,0,0,0
Health Careers High School,128,0,0,0,0,0,0,0,0,128
Hector Garcia Middle School,89,0,0,0,0,0,0,0,0,89
Helotes City Hall,282,0,0,0,0,0,0,0,0,282
Helotes Elementary School,1809,134,128,171,142,207,228,256,492,51
Henderson Elementary School,67,0,0,0,0,0,0,0,0,67
Henry Wadsworth Longfellow Middle School,135,0,0,0,0,0,0,0,0,135
Herman Hirsch Elementary School,100,0,0,0,0,0,0,0,0,100
Hidden Forest Elementary School,187,0,0,0,0,0,0,0,0,187
Highland Hills Elementary School,103,0,0,0,0,0,0,0,0,103
Highlands High School,0,0,0,0,0,0,0,0,0,0
Hill Country Retreat,0,0,0,0,0,0,0,0,0,0
Hill Country Village City Hall,0,0,0,0,0,0,0,0,0,0
Hill Middle School,0,0,0,0,0,0,0,0,0,0
Hollywood Park City Hall,421,0,0,0,0,0,0,0,0,421
Hope Church,0,0,0,0,0,0,0,0,0,0
Howard Early Childhood Center,0,0,0,0,0,0,0,0,0,0
Huebner Elementary School,577,0,0,0,0,0,0,0,0,577
Huisache Avenue Baptist Church,172,0,0,0,0,0,0,0,0,172
Hunters Creek Swim and Racquet Club,341,0,0,0,0,0,0,0,0,341
Huppertz Elementary School,116,0,0,0,0,0,0,0,0,116
Igo Branch Library,5623,302,391,411,436,510,616,855,1221,881
Indian Springs Elementary School,758,0,0,0,0,0,0,0,0,758
Inez Foster Elementary School,106,0,0,0,0,0,0,0,0,106
James Russell Lowell Middle School,95,0,0,0,0,0,0,0,0,95
Jefferson High School,0,0,0,0,0,0,0,0,0,0
Joe Ward Recreation Center,338,0,0,0,0,0,0,0,0,338
John Greenleaf Whittier Middle School,133,0,0,0,0,0,0,0,0,133
John Hoffmann Elementary School,0,0,0,0,0,0,0,0,0,0
John Marshall High School,80,0,0,0,0,0,0,0,0,80
Johnston Branch Library,1807,98,105,148,160,160,135,244,473,284
Judson ISD ERC,114,0,0,0,0,0,0,0,0,114
Judson ISD PAC,57,0,0,0,0,0,0,0,0,57
Judson Middle School,0,0,0,0,0,0,0,0,0,0
Julia Yates Semmes Library,5708,420,529,551,631,693,731,1006,1147,0
Kallison Elementary School,751,0,0,0,0,0,0,0,0,751
Kate Schenck Elementary School,154,0,0,0,0,0,0,0,0,154
Katherine Stinson Middle School,0,0,0,0,0,0,0,0,0,0
Kelly Elementary School,0,0,0,0,0,0,0,0,0,0
Kenwood Community Center,220,0,0,0,0,0,0,0,0,220
Kinder Ranch Elementary School,824,0,0,0,0,0,0,0,0,824
Kingsborough Middle School,168,0,0,0,0,0,0,0,0,168
Kirby City Hall,1093,74,73,59,66,66,81,176,249,259
Kitty Hawk Middle School,0,0,0,0,0,0,0,0,0,0
Knowlton Elementary School,170,0,0,0,0,0,0,0,0,170
Krueger Middle School,120,0,0,0,0,0,0,0,0,120
Krueger Elementary School,48,0,0,0,0,0,0,0,0,48
Langley Elementary School,0,0,0,0,0,0,0,0,0,0
Larkspur Elementary School,282,0,0,0,0,0,0,0,0,282
Las Lomas Elementary School,183,0,0,0,0,0,0,0,0,183
Las Palmas Branch Library,2608,174,206,172,180,169,242,428,574,463
Laurel Heights United Methodist Church,307,0,0,0,0,0,0,0,0,307
Leon Valley Conference Center,3104,196,250,282,270,274,357,604,871,0
Leon Valley City Hall,0,0,0,0,0,0,0,0,0,0
