Early Voting Locations,Total,04/22/24,04/23/24,04/24/24,04/25/24,04/26/24,04/27/24,04/28/24,04/29/24,*05/03/25
Honor Elementary School,48,0,0,0,0,0,0,0,0,48
Hope Church,188,0,0,0,0,0,0,0,0,188
Huebner Elementary School,362,0,0,0,0,0,0,0,0,362
Huisache Avenue Baptist Church,121,0,0,0,0,0,0,0,0,121
Hunters Creek Swim and Racquet Club,240,0,0,0,0,0,0,0,0,240
Igo Branch Library,4076,248,286,290,406,364,202,541,952,787
Indian Springs Elementary School,106,0,0,0,0,0,0,0,0,106
Joe Ward Recreation Center,210,0,0,0,0,0,0,0,0,210
John Greenleaf Whittier Middle School,75,0,0,0,0,0,0,0,0,75
John Hoffmann Elementary School,87,0,0,0,0,0,0,0,0,87
John Marshall High School,96,0,0,0,0,0,0,0,0,96
Johnston Branch Library,1378,139,92,108,115,97,36,181,291,326
Judson ISD ERC,56,0,0,0,0,0,0,0,0,56
Judson ISD PAC,82,0,0,0,0,0,0,0,0,82
Kelly Academy @ Lowell Middle School,41,0,0,0,0,0,0,0,0,41
Kingsborough Middle School,84,0,0,0,0,0,0,0,0,84
Kirby City Hall,940,84,58,81,78,53,35,122,180,249
Krueger Middle School,89,0,0,0,0,0,0,0,0,89
Ladera Elementary School,73,3,4,4,6,3,1,5,20,27
Langley Elementary School,55,0,0,0,0,0,0,0,0,55
Larkspur Elementary School,147,0,0,0,0,0,0,0,0,147
Las Lomas Elementary School,93,0,0,0,0,0,0,0,0,93
Laurel Heights United Methodist Church,200,0,0,0,0,0,0,0,0,200
Leon Springs Elementary School,249,0,0,0,0,0,0,0,0,249
Leon Valley Conference Center,2510,161,189,190,255,205,119,348,591,452
Lewis Elementary School,180,0,0,0,0,0,0,0,0,180
Lion's Field Adult and Senior Center,3795,301,330,304,344,299,144,471,822,780
Longs Creek Elementary School,121,0,0,0,0,0,0,0,0,121
Lopez Middle School,105,0,0,0,0,0,0,0,0,105
Los Reyes Elementary School,11,0,0,0,0,0,0,0,0,11
Luther Burbank High School,57,0,0,0,0,0,0,0,0,57
Macedonia Baptist Church,82,0,0,0,0,0,0,0,0,82
Marin B. Fenwick Academy,56,0,0,0,0,0,0,0,0,56
Martin Luther King Jr. Academy for Arts Integration,10,0,0,0,0,0,0,0,0,10
Maury Maverick Jr. Library,4432,330,339,379,432,344,212,607,994,795
May Elementary School,96,0,0,0,0,0,0,0,0,96
McCreless Branch Library,2727,196,178,196,248,211,100,363,608,627
Mead Elementary School,107,0,0,0,0,0,0,0,0,107
